dataset,datasetId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0023,http://linked.data.gov.au/dataset/ausplots/site-waacoo0023,20131115,http://linked.data.gov.au/dataset/ausplots/sv-53448,2013-11-15T16:07:00Z,2013-11-15T16:07:00Z,"Credo Conservation Park, 35km north of Credo Homestead on Coolgardie North Road. 500m east of WACOO 0022 and 500m west of flux tower."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0004,http://linked.data.gov.au/dataset/ausplots/site-waacoo0004,20140714,http://linked.data.gov.au/dataset/ausplots/sv-53449,2014-07-14T12:00:00Z,2013-07-14T09:57:00Z,"35km south east of Southern Cross. 12.24 km east of the emu fence road along the Mt Palmer Road .															
															
North west of WAACOO0003 on sand dune rim."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0020,http://linked.data.gov.au/dataset/ausplots/site-waacoo0020,20131030,http://linked.data.gov.au/dataset/ausplots/sv-53450,2013-10-30T00:00:00Z,2013-10-30T00:00:00Z,"Credo Conservation Park, 36km north of Credo Homestead and then 2.6km east of Coolgardie North Road. 36km north of Coolgardie"
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0024,http://linked.data.gov.au/dataset/ausplots/site-waacoo0024,20131126,http://linked.data.gov.au/dataset/ausplots/sv-53451,2013-11-26T16:09:00Z,2013-11-26T16:09:00Z,"Credo Conservation Park, 35km north of Credo Homestead on Coolgardie North Road. Then about 2km east on track and 300m north of track."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0025,http://linked.data.gov.au/dataset/ausplots/site-waacoo0025,20131129,http://linked.data.gov.au/dataset/ausplots/sv-53452,2013-11-29T16:10:00Z,2013-11-29T16:10:00Z,"Credo Conservation Park, 2km south of supersite at Credo Station along Coolgardie north road, and then about 3km east."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0022,http://linked.data.gov.au/dataset/ausplots/site-waacoo0022,20131101,http://linked.data.gov.au/dataset/ausplots/sv-53453,2013-11-01T16:06:00Z,2013-11-01T16:06:00Z,"Credo Conservation Park, 35km north of Credo Homestead on the Coolgardie north road. CSIRO supersite GB100."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0026,http://linked.data.gov.au/dataset/ausplots/site-waacoo0026,20140104,http://linked.data.gov.au/dataset/ausplots/sv-53454,2014-01-04T00:00:00Z,2014-01-04T00:00:00Z,Credo Conservation Reserve. 15km due west of Credo homestead
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0027,http://linked.data.gov.au/dataset/ausplots/site-waacoo0027,20140121,http://linked.data.gov.au/dataset/ausplots/sv-53455,2014-01-21T00:00:00Z,2014-01-21T00:00:00Z,Credo Conservation Park. 15km due west of Credo homestead on a ridge-based rise with yellow sand. 2 km north of WAACOO0026. 1.5 km south of mine pit on ridge.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0021,http://linked.data.gov.au/dataset/ausplots/site-waacoo0021,20131101,http://linked.data.gov.au/dataset/ausplots/sv-53456,2013-11-01T12:00:00Z,2013-11-01T12:00:00Z,"Credo Conservation Park, About 200m west of flux tower at Credo supersite. About 35km north of Credo homestead on the Coolgardie north road, and due east by about 2km."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0028,http://linked.data.gov.au/dataset/ausplots/site-waacoo0028,20140110,http://linked.data.gov.au/dataset/ausplots/sv-53457,2014-01-10T16:11:00Z,2014-01-09T16:11:00Z,"Credo Conservation Park, 25km west of Credo Homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0029,http://linked.data.gov.au/dataset/ausplots/site-waacoo0029,20140111,http://linked.data.gov.au/dataset/ausplots/sv-53458,2014-01-11T16:13:00Z,2014-01-11T16:13:00Z,"Credo Conservation Park, 25km East of Credo Homestead.1.5km west of a granite outcrop."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0016,http://linked.data.gov.au/dataset/ausplots/site-waacoo0016,20140106,http://linked.data.gov.au/dataset/ausplots/sv-53459,2014-01-06T16:03:00Z,2014-01-06T16:03:00Z,"Boorabbin National Park, about 1.2km east of pipeline crossing/haul road on northern side of highway at Boorabbin and then 400m north."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0017,http://linked.data.gov.au/dataset/ausplots/site-waacoo0017,20140217,http://linked.data.gov.au/dataset/ausplots/sv-53460,2014-02-17T00:00:00Z,2014-02-17T00:00:00Z,"Boorabbin National Park, 4.35km north from Ryan""s find rd. turnoff on Great Eastern Highway; along firebreak that stands in for the road. Site overlays with South Western Australian Transitional Transect WATCOO0006"
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0018,http://linked.data.gov.au/dataset/ausplots/site-waacoo0018,20140220,http://linked.data.gov.au/dataset/ausplots/sv-53461,2014-02-20T16:05:00Z,2014-02-20T16:05:00Z,"Boorabbin National Park, About 500m north of Highway at Boorabbin. East side of haul road."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0012,http://linked.data.gov.au/dataset/ausplots/site-waacoo0012,20140305,http://linked.data.gov.au/dataset/ausplots/sv-53462,2014-03-05T16:02:00Z,2014-03-05T16:02:00Z,"Boorabbin National Park, 6km south of Boorabbin town site, near track to salt lake. West of track 30m."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0019,http://linked.data.gov.au/dataset/ausplots/site-waacoo0019,20140303,http://linked.data.gov.au/dataset/ausplots/sv-53463,2014-03-03T00:00:00Z,2014-03-03T00:00:00Z,"Boorabbin National Park, About 5.1km west of Ryan""s Find Rd on track running parallel to the pipeline on its north side; then at junction turn onto ENE track and go about 1.1km east (-north-east)."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAAMUR0030,http://linked.data.gov.au/dataset/ausplots/site-waamur0030,20140327,http://linked.data.gov.au/dataset/ausplots/sv-53464,2014-03-27T16:17:00Z,2014-03-27T16:17:00Z,wanjarri reserve
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAAMUR0031,http://linked.data.gov.au/dataset/ausplots/site-waamur0031,20140328,http://linked.data.gov.au/dataset/ausplots/sv-53465,2014-03-28T16:18:00Z,2014-03-28T16:18:00Z,triodia grassland
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAMGD0002,http://linked.data.gov.au/dataset/ausplots/site-ntamgd0002,20140312,http://linked.data.gov.au/dataset/ausplots/sv-53466,2014-03-12T00:00:00Z,2014-03-12T00:00:00Z,"Soudan Station,  about 84kms west of Camooweal. Close to Six Mile Creek on western side, north of Barkly Highway."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDACHC0003,http://linked.data.gov.au/dataset/ausplots/site-qdachc0003,20130423,http://linked.data.gov.au/dataset/ausplots/sv-53467,2013-04-23T11:59:00Z,2013-04-23T11:59:00Z,"Noonbah Station, 2.3km south west of homestead.  29km north west of Stonehenge"
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDACHC0004,http://linked.data.gov.au/dataset/ausplots/site-qdachc0004,20130519,http://linked.data.gov.au/dataset/ausplots/sv-53468,2013-05-19T13:44:00Z,2013-05-19T13:44:00Z,"Diamantina National Park , margins of Diamantina River."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDACHC0006,http://linked.data.gov.au/dataset/ausplots/site-qdachc0006,20130520,http://linked.data.gov.au/dataset/ausplots/sv-53469,2013-05-20T16:09:00Z,2013-05-21T12:00:00Z,Diamantina Lakes National Park about 500 meters west of ranger base.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAEIU0001,http://linked.data.gov.au/dataset/ausplots/site-qdaeiu0001,20130612,http://linked.data.gov.au/dataset/ausplots/sv-53470,2013-06-12T14:06:00Z,2013-06-12T14:06:00Z,"Blackbraes National Park, 1km east of homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAEIU0003,http://linked.data.gov.au/dataset/ausplots/site-qdaeiu0003,20130613,http://linked.data.gov.au/dataset/ausplots/sv-53471,2013-06-13T15:01:00Z,2013-06-13T15:01:00Z,Blackbraes National Park. 18kms northwest of home stead. 180km north of Hughenden.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAEIU0005,http://linked.data.gov.au/dataset/ausplots/site-qdaeiu0005,20130930,http://linked.data.gov.au/dataset/ausplots/sv-53472,2013-09-30T00:00:00Z,2013-09-30T00:00:00Z,"The Canyon Station- Ladies Flat, about 40 km west of Einasleigh."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAEIU0006,http://linked.data.gov.au/dataset/ausplots/site-qdaeiu0006,20131001,http://linked.data.gov.au/dataset/ausplots/sv-53473,2013-10-01T00:00:00Z,2013-10-01T00:00:00Z,The Canyon RR. inside exclosure
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAEIU0007,http://linked.data.gov.au/dataset/ausplots/site-qdaeiu0007,20131001,http://linked.data.gov.au/dataset/ausplots/sv-53474,2013-10-01T00:00:00Z,2013-10-01T00:00:00Z,The Canyon Resources Reserve. Outside fence
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0002,http://linked.data.gov.au/dataset/ausplots/site-qdagup0002,20130615,http://linked.data.gov.au/dataset/ausplots/sv-53475,2013-06-15T09:57:00Z,2013-06-15T09:57:00Z,Dutton River Station about 46 northwest of homestead and 110kms northeast of Richmond.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0004,http://linked.data.gov.au/dataset/ausplots/site-qdagup0004,20130726,http://linked.data.gov.au/dataset/ausplots/sv-53476,2013-07-26T00:00:00Z,2013-07-26T00:00:00Z,Saxby Downs Station about 5kms north of Saxby Downs homestead. 110kms northwest of Richmond.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0006,http://linked.data.gov.au/dataset/ausplots/site-qdagup0006,20130619,http://linked.data.gov.au/dataset/ausplots/sv-53477,2013-06-19T10:36:00Z,2013-06-19T10:36:00Z,Saxby Downs about 15kms north of homestead and about 80kms north of Maxwelton.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0007,http://linked.data.gov.au/dataset/ausplots/site-qdagup0007,20130619,http://linked.data.gov.au/dataset/ausplots/sv-53478,2013-06-19T10:44:00Z,2013-06-19T10:44:00Z,"Crowfells Station, 100kms north of Julia Creek."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0010,http://linked.data.gov.au/dataset/ausplots/site-qdagup0010,20130621,http://linked.data.gov.au/dataset/ausplots/sv-53479,2013-06-21T11:15:00Z,2013-06-21T11:15:00Z,Millungera station. 30km east south east of homestead. 83km north north west of Julia Creek.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0014,http://linked.data.gov.au/dataset/ausplots/site-qdagup0014,20130711,http://linked.data.gov.au/dataset/ausplots/sv-53480,2013-07-11T13:34:00Z,2013-07-11T13:34:00Z,Magowra station. 52km South south west of homestead. 70km south west of Normanton.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0016,http://linked.data.gov.au/dataset/ausplots/site-qdagup0016,20130712,http://linked.data.gov.au/dataset/ausplots/sv-53481,2013-07-12T14:12:00Z,2013-07-12T14:12:00Z,Magowra station. 53km south south west of homestead. 72 km south west of Normanton.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0018,http://linked.data.gov.au/dataset/ausplots/site-qdagup0018,20130713,http://linked.data.gov.au/dataset/ausplots/sv-53482,2013-07-13T14:24:00Z,2013-07-13T14:24:00Z,Mutton hole Conservation Park.  3.2km North east of Normanton.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0020,http://linked.data.gov.au/dataset/ausplots/site-qdagup0020,20130715,http://linked.data.gov.au/dataset/ausplots/sv-53483,2013-07-15T12:00:00Z,2013-07-15T12:00:00Z,Delta Downs Station. 38km West of Homestead. 74km north north west of Normanton
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0022,http://linked.data.gov.au/dataset/ausplots/site-qdagup0022,20130716,http://linked.data.gov.au/dataset/ausplots/sv-53484,2013-07-16T15:43:00Z,2014-09-03T12:00:00Z,Delta Downs station. 28km west of homestead. 57km north north east of Karumba
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0024,http://linked.data.gov.au/dataset/ausplots/site-qdagup0024,20130717,http://linked.data.gov.au/dataset/ausplots/sv-53485,2013-07-17T15:57:00Z,2013-07-17T15:57:00Z,Karumba holdings. 3km North north east of Karumba.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0026,http://linked.data.gov.au/dataset/ausplots/site-qdagup0026,20130718,http://linked.data.gov.au/dataset/ausplots/sv-53486,2013-07-18T16:25:00Z,2013-07-18T16:25:00Z,2.3km north north east of Karumba
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0028,http://linked.data.gov.au/dataset/ausplots/site-qdagup0028,20130719,http://linked.data.gov.au/dataset/ausplots/sv-53487,2013-07-19T09:42:00Z,2013-07-19T09:42:00Z,Delta Downs Station. 36.5 km south west of homestead. 42km north east of Karumba.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0029,http://linked.data.gov.au/dataset/ausplots/site-qdagup0029,20130924,http://linked.data.gov.au/dataset/ausplots/sv-53488,2013-09-24T12:00:00Z,2013-09-24T12:00:00Z,"Staaten River National Park, about 35kms west of Bulimba Homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0030,http://linked.data.gov.au/dataset/ausplots/site-qdagup0030,20130925,http://linked.data.gov.au/dataset/ausplots/sv-53489,2013-09-25T00:00:00Z,2013-09-25T00:00:00Z,"Staaten River National Park, about 35kms west of Bulimba homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0031,http://linked.data.gov.au/dataset/ausplots/site-qdagup0031,20130924,http://linked.data.gov.au/dataset/ausplots/sv-53490,2013-09-24T00:00:00Z,2013-09-24T00:00:00Z,"Staaten River National Park,  35kms west of Bulimba Homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0003,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0003,20130420,http://linked.data.gov.au/dataset/ausplots/sv-53491,2013-04-20T13:50:00Z,2013-04-20T13:50:00Z,Rosebank Station.10kms southeast of Longreach
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0006,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0006,20130420,http://linked.data.gov.au/dataset/ausplots/sv-53492,2013-04-20T13:56:00Z,2013-04-20T13:56:00Z,"Whitehill Station, 5kms east of homestead. 30km south of Longreach."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0008,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0008,20130421,http://linked.data.gov.au/dataset/ausplots/sv-53493,2013-04-21T14:05:00Z,2013-04-21T14:05:00Z,"Whitehill Station, about 30kms south of Longreach."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0009,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0009,20130422,http://linked.data.gov.au/dataset/ausplots/sv-53494,2013-04-22T12:00:00Z,2013-04-22T14:11:00Z,Lochern National Park about 3kms west north west of Ranger station.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0011,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0011,20130422,http://linked.data.gov.au/dataset/ausplots/sv-53495,2013-04-22T14:17:00Z,2013-04-22T14:17:00Z,"Lochern National Park, about 8kms north of ranger station. Approximately 117km south west of Longreach."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0012,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0012,20130426,http://linked.data.gov.au/dataset/ausplots/sv-53496,2013-04-26T15:24:00Z,2013-04-26T15:24:00Z,"Idalia National Park 10km north east of ranger station, close to entry gate"
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0014,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0014,20130514,http://linked.data.gov.au/dataset/ausplots/sv-53497,2013-05-14T15:33:00Z,2013-05-14T15:33:00Z,"Bladensburg National Park, about 1kmSW of ranger base."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0016,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0016,20130515,http://linked.data.gov.au/dataset/ausplots/sv-53498,2013-05-15T15:48:00Z,2013-05-15T15:48:00Z,Bladensburg National Park about 14kms east of ranger base.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0017,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0017,20130516,http://linked.data.gov.au/dataset/ausplots/sv-53499,2013-05-16T15:52:00Z,2013-05-16T15:52:00Z,Daintree Station. Approximately 40km north of Winton.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0020,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0020,20130517,http://linked.data.gov.au/dataset/ausplots/sv-53500,2013-05-17T09:24:00Z,2013-05-17T09:24:00Z,Cathedral Hills Station about 10 km south of homestead.  59km south east of Kynuna
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0022,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0022,20130518,http://linked.data.gov.au/dataset/ausplots/sv-53501,2013-05-18T09:34:00Z,2013-05-18T09:34:00Z,"Mackunda Downs Station, 500m east of homestead.  26km west of Middleton."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0024,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0024,20130521,http://linked.data.gov.au/dataset/ausplots/sv-53502,2013-05-21T09:53:00Z,2013-05-21T09:53:00Z,Diamantina National Park .15kms northeast of ranger station.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0026,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0026,20130616,http://linked.data.gov.au/dataset/ausplots/sv-53503,2013-06-16T10:11:00Z,2013-06-06T10:11:00Z,"Dutton River Station, 4kms north of Dutton River Homestead and 83kms northeast of Richmond."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMII0001,http://linked.data.gov.au/dataset/ausplots/site-qdamii0001,20130710,http://linked.data.gov.au/dataset/ausplots/sv-53504,2013-07-10T15:49:00Z,2013-07-10T15:49:00Z,Boomarra Station. 15km west north west of homestead. 136km north north west of Cloncurry.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMUL0002,http://linked.data.gov.au/dataset/ausplots/site-qdamul0002,20130427,http://linked.data.gov.au/dataset/ausplots/sv-53505,2013-04-27T14:35:00Z,2013-04-27T14:35:00Z,Northern section of Idalia National Park in Acacia shirleyi woodland on tertiary remnant.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAFLB0030,http://linked.data.gov.au/dataset/ausplots/site-saaflb0030,20130813,http://linked.data.gov.au/dataset/ausplots/sv-53506,2013-08-13T00:00:00Z,2013-08-13T00:00:00Z,"Witchelina Reserve, about 6kms northwest of homestead. 79km north west of Lyndhurst"
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAFLB0031,http://linked.data.gov.au/dataset/ausplots/site-saaflb0031,20130813,http://linked.data.gov.au/dataset/ausplots/sv-53507,2013-08-13T00:00:00Z,2013-08-13T00:00:00Z,"Witchelina Reserve, about 15kms northwest of homestead. 82km north west of Lyndhurst"
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SATSTP0003,http://linked.data.gov.au/dataset/ausplots/site-satstp0003,20130815,http://linked.data.gov.au/dataset/ausplots/sv-53511,2013-08-15T00:00:00Z,2013-08-15T00:00:00Z,Mount Lyndhurst Station about 40 km north of homestead.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SATSTP0004,http://linked.data.gov.au/dataset/ausplots/site-satstp0004,20130815,http://linked.data.gov.au/dataset/ausplots/sv-53512,2013-08-15T12:00:00Z,2013-08-15T12:00:00Z,"Mount Lyndhurst Station, 40kms north of homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SATSTP0005,http://linked.data.gov.au/dataset/ausplots/site-satstp0005,20130817,http://linked.data.gov.au/dataset/ausplots/sv-53513,2013-08-17T00:00:00Z,2013-08-17T00:00:00Z,"Murnpeowie Station , 40kms northwest of homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SATSTP0006,http://linked.data.gov.au/dataset/ausplots/site-satstp0006,20130817,http://linked.data.gov.au/dataset/ausplots/sv-53514,2013-08-17T00:00:00Z,2013-08-17T00:00:00Z,"Murnpeowie Station, 40km north west of homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SATSTP0007,http://linked.data.gov.au/dataset/ausplots/site-satstp0007,20130818,http://linked.data.gov.au/dataset/ausplots/sv-53515,2013-08-18T00:00:00Z,2013-08-18T00:00:00Z,"Murnpeowie Station, about 35 km north west of homestead.
"
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SATSTP0008,http://linked.data.gov.au/dataset/ausplots/site-satstp0008,20130818,http://linked.data.gov.au/dataset/ausplots/sv-53516,2013-08-18T00:00:00Z,2013-08-18T00:00:00Z,"Murnpeowie Station, 50km north west of homestead."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDACHC0007,http://linked.data.gov.au/dataset/ausplots/site-qdachc0007,20130520,http://linked.data.gov.au/dataset/ausplots/sv-53517,2013-05-20T00:00:00Z,2013-05-20T00:00:00Z,Diamantina Lakes National Park. 16km north west of homestead. 165km south east of Boulia.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTADAC0001,http://linked.data.gov.au/dataset/ausplots/site-ntadac0001,20130528,http://linked.data.gov.au/dataset/ausplots/sv-53518,2013-05-28T00:00:00Z,2013-05-28T00:00:00Z,Litchfield National Park. 30km south west of Bachelor. 77.5km south south west of Darwin. Along track to Lost City from Litchfield Road.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAFIN0001,http://linked.data.gov.au/dataset/ausplots/site-ntafin0001,20111020,http://linked.data.gov.au/dataset/ausplots/sv-53519,2011-10-20T12:00:00Z,2013-10-20T12:00:00Z,Owen Springs Reserve. 63 km South west of Alice Springs
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAMGD0001,http://linked.data.gov.au/dataset/ausplots/site-ntamgd0001,20140313,http://linked.data.gov.au/dataset/ausplots/sv-53520,2014-03-13T00:00:00Z,2014-03-13T00:00:00Z,Soudan Station. 83km West south west of Camooweal.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTTMGD0001,http://linked.data.gov.au/dataset/ausplots/site-nttmgd0001,20140315,http://linked.data.gov.au/dataset/ausplots/sv-53521,2014-03-15T00:00:00Z,2014-03-15T00:00:00Z,"Newcastle Waters station. 10.6km north north west of homestead, 67km south of Dunmarra roadhouse"
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDACHC0005,http://linked.data.gov.au/dataset/ausplots/site-qdachc0005,20130519,http://linked.data.gov.au/dataset/ausplots/sv-53522,2013-05-19T00:00:00Z,2013-05-19T00:00:00Z,"Diamantina Lakes National Park, 8km north west of homestead. 182km south east of Boulia,"
